column	one_hot_group	is_missingness_indicator	pearson_r	pearson_p	spearman_r	spearman_p
cnb_pvrt_cr		False	0.5559856113378632	5.267076264157549e-19	0.5662072512945346	8.555298484621712e-20
cnb_edisc_rt		False	-0.5455421696448894	3.1662004818676083e-18	-0.5552201330461592	6.019988783937266e-19
cnb_pvrt_rtcr		False	-0.4874805917904333	2.3628273616800012e-14	-0.5428572028078542	4.971161884351365e-18
cnb_pmat_cr		False	0.4867235986423747	2.625563957974572e-14	0.4737572090599738	1.5356731940170986e-13
cnb_plot_cr		False	0.4479107832034176	4.1891237357919116e-12	0.4414560943751904	9.167095798125946e-12
cnb_er40_cr		False	0.4255968473293585	5.862059714338251e-11	0.2766453970754068	3.586093085700794e-05
cnb_mpract_mp2rtcr		False	-0.4213119840246661	9.520916341428696e-11	-0.3180430964035065	1.728893509132984e-06
cnb_mpract_mp2		False	0.3977487773792441	1.2169422652531683e-09	0.1848801627684624	0.0063082972244772
cnb_adt_cr		False	0.3888689056829322	3.0223994562273503e-09	0.39241944793956	2.107587036091266e-09
cnb_cpf_cr		False	0.381855578670442	6.084070388531427e-09	0.4001192449333207	9.501919424127983e-10
cnb_medf_cr		False	0.3745301896552677	1.2416214771753308e-08	0.3706025485855312	1.8069934542640045e-08
cnb_cpw_rtcr		False	-0.3745179893688815	1.2430792096703496e-08	-0.4203315804052941	1.0628122910976787e-10
cnb_cpw_cr		False	0.3524884233004738	9.570148224293717e-08	0.3348323861239508	4.407903592541435e-07
cnb_er40_rtcr		False	-0.3523078831847723	9.725450969951796e-08	-0.4650798863692959	4.806896354847034e-13
rpas_total_score		False	-0.3488757203878361	1.3182134692406025e-07	-0.2873696635301866	1.7094138211277685e-05
cnb_medf_rtcr		False	-0.3446019086486667	1.9154190973057896e-07	-0.3074802703132397	3.919320772645164e-06
cnb_volt_cr		False	0.3243694330932718	1.04301034240886e-06	0.3100912777692801	3.210836093080468e-06
im_average		False	0.2929019587695781	1.152529766710981e-05	0.2422801921550568	0.0003155181430816
race_Black or African American	race	False	-0.2760513946737763	3.733014567078996e-05	-0.3268967118646051	8.495884551046926e-07
eswan_adhd_inattention_total		False	0.2742907346971479	4.2025444749044266e-05	0.2137811666052413	0.0015364670482968
cnb_adt_rtcr		False	-0.2737092061120103	4.369477818067516e-05	-0.278218420835376	3.2229126450900795e-05
prime_total_score		False	-0.2398596159095241	0.0003636741270607	-0.2424879947109043	0.0003116732320792
cnb_ddisc_rt		False	-0.22701435556657	0.000754665232436	-0.1633401321283184	0.0160203918080751
